Identifier,Title,Creator,Date Original,Description,Subject LCTGM,Subject LCSH,Geographic Subject,Latitude,Longitude,Type DCMI,Type AAT,Digital Collection,Rights,URL,Publisher
calvin_501,"Loading out burned clay and ballast, Davis City, Iowa, September 1897",unknown,1897-09,,Geology; Industry; Meadows,,United States -- Iowa -- Decatur County -- Davis City,40.637531,-93.808693,Still Image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/501,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_502,"People near cabin at ballast burning camp, Maxon, Iowa, late 1890s or early 1900s",unknown,1895/1910,,Geology; People; Buildings,,United States -- Iowa -- Monroe County -- Maxon,41.045952,-92.773659,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/502,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_503,"Dredge on Fraser River, Colorado, late 1890s or early 1900s",unknown,1895/1910,,Industry; Dredging; Geology; Rivers,Fraser River (Colo.),United States -- Colorado -- Grand County,40.08514,-106.139523,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/503,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_520,"Old Science Hall, in old postition, from the southwest",unknown,1903,"Old Science Hall on the University of Iowa campus, Iowa City. Photograph taken in fall.",Campus,,United States -- Iowa -- Johnson County,41.642611,-91.599937,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/520,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_524,"Homeopathic Medical Hospital, Summer",unknown,1895/1910,"Hospital, on corner of Jefferson and Dubuque Streets.  University of Iowa campus, Iowa City",Campus,,United States -- Iowa -- Johnson County,41.642611,-91.599937,Still Image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/524,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_551,"Special forms in the Garden of the Gods, Colorado Springs, Colo., late 1890s or early 1900s",unknown,1895/1910,,Geology,Garden of the Gods Park (Colo.),United States -- Colorado -- El Paso County -- Colorado Springs,38.83345,-104.821808,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/551,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_559,"Jimtown Mill, Colo., late 1890s or early 1900s",unknown,1895/1910,,Geology; Mills; Buildings,,United States -- Colorado -- Boulder County,40.08843,-105.373459,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/559,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_560,"Barn and man on wagon with team of horses on side of a mountain, late 1890s or early 1900s",unknown,1895/1910,,Geology; People; Barns; Horses; Carriages & coaches; Mountains,,,,,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/560,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_567,"Mountains and plain near Herald, late 1890s or early 1900s",unknown,1895/1910,,Geology; Mountains; Meadows,,,,,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/567,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_570,"Old Mill, Vernon Springs, Iowa, late 1890s or early 1900s",unknown,1895/1910,,Geology; Mills; Buildings,,United States -- Iowa -- Howard County -- Vernon Springs,43.371078,-92.141052,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/570,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_571,"Residence of G. Crawford, Hopkinton, Iowa, late 1890s or early 1900s",unknown,1895/1910,,Geology; Houses,,United States -- Iowa -- Delaware County -- Hopkinton,42.34724,-91.251991,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/571,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_573,"Lomas residence, Villisca, Iowa, late 1890s or early 1900s",unknown,1895/1910,no.1,Geology; Houses,,United States -- Iowa -- Montgomery County -- Villisca,40.929569,-94.979378,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/573,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_575,"Geological picnic, Iowa, April 28, 1894",unknown,1894-04-28,,Geology; People; Picnics; Horses; Carriages & coaches,,United States -- Iowa,41.93825,-93.389889,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/575,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_576,"Geological picnic, Iowa, April 28, 1894",unknown,1894-04-28,,Geology; People; Picnics; Horses; Carriages & coaches,,United States -- Iowa,41.93825,-93.389889,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/576,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_577,"Geological picnic, Iowa, April 28, 1894",unknown,1894-04-28,,Geology; People; Picnics,,United States -- Iowa,41.93825,-93.389889,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/577,University of Iowa. Dept. of Geoscience. Paleontology Repository
calvin_599,"Professor Samuel Calvin and class at the state quarry, North Liberty, Iowa, April 22, 1899",unknown,1899-04-22,,Geology; Students; Teachers,,United States -- Iowa -- Johnson County -- North Liberty,41.749088,-91.597847,Still image,Photographs,Calvin Geological Photographs,"This digital image may be used for educational purposes, as long as it is not altered in any way. No commercial reproduction or distribution of this file is permitted without permission.",http://digital.lib.uiowa.edu/cdm/ref/collection/calvin/id/599,University of Iowa. Dept. of Geoscience. Paleontology Repository
