Title	Creator	Publisher	Date Original	Description	Note	Topical Subject (LCTGM)	Topical Subject (LCSH)	Personal Name Subject	Corporate Name Subject	Railroad Line	Geographic Subject	Chronological Subject	Type (DCMIType)	Type (AAT)	Type (IMT)	Digital Collection	Contributing Institution	Archival Collection	Collection Identifier	Collection Guide	Scrapbook	Rights Management	Contact Information	Height (cm)	Width (cm)	Digitization Specifications	Date Digital	File Name	Compound Object	Latitude	Longitude	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
"Prescott, IA. BN, CBQ"	unknown		1982-10-15	Small wooden depot quite a distance from a pair of tracks which curve off to the right in the distance.		Railroad stations; Buildings				"Burlington Northern Railroad Company; Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adams County -- Prescott	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 13,944,996 bytes, 1787 x 2599; JPEG image: 214,305 bytes"	3/22/2005	40prescott02.jpg		41.023622	-94.608443	10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,27"	27	24.jpg	/railroadiana/image/24.jpg
"Nodaway, Iowa. BN (CBQ)"	unknown		1982-10-15	Small wooden station to left of a pair of tracks.  There's a grain elevator on the edge of the picture and a cattle pen behind the station.  The station sign is attached to two wooden posts.		Railroad stations; Buildings				"Burlington Northern Railroad Company; Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Iowa County -- Nodaway	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"vol. 40, Depots by County"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,229,476 bytes, 1791 x 2646; JPEG image: 234,516 bytes"	3/22/2005	40nodaway02.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,28"	28	25.jpg	/railroadiana/image/25.jpg
"Prescott, IA. BN"	"Sims, Ronald D."		1987-06-25	"Station sign on two sign posts with a grain elevator on the other side of the tracks and buildings in the background.  ""View looks w.  Sims photo Cornell IA 50313"" -- photograph verso."		Railroad stations; Buildings				Burlington Northern Railroad Company	United States -- Iowa -- Adams County -- Prescott	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,472,748 bytes, 1812 x 2660; JPEG image: 228,893 bytes"	3/22/2005	40prescott03.jpg		41.023622	-94.608443	10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,29"	29	26.JPG	/railroadiana/image/26.JPG
"Greenfield, Iowa. CBQ"	"Sims, Ronald D."		1960-06-24	"Brick depot with pickup truck and car in front and railroad car beside.  Man working next to railroad car.  Grain elevator on right.  ""view looks W""--photograph verso."		Railroad stations; Buildings; Railroad cars; Automobiles				"Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adair County -- Greenfield	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 7,015,304 bytes, 1796 x 2500; JPEG image: 184,810 bytes"	2/22/2005	40greenfield01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,30"	30	27.jpg	/railroadiana/image/27.jpg
"Orient, Iowa. BN"	unknown		1983-05-14	Railroad tracks running into the background.  Trucks parked on the left.  Grain elevators on the right.  Buildings in the background on the right of the tracks.		Railroad stations; Buildings; Grain elevators; Automobiles				Burlington Northern Railroad Company	United States -- Iowa -- Adair County -- Orient	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,014,532 bytes), 1768 x 2640; JPEG image: 207,366 bytes"	3/17/2005	40orient02.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,31"	31	28.jpg	/railroadiana/image/28.jpg
"Orient, Iowa. CBQ"	"Sims, Ronald D."		1960-06-24	"Wooden depot with car parked next to it.  Train sitting on tracks. ""view looks NW""--Photograph verso."		Railroad stations; Buildings; Automobiles; Railroad cars				"Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adair County -- Orient	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,059,928 bytes, 1746 x 2682; JPEG image: 190,841 bytes, 391 x 600"	3/16/2005	40orient01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,32"	32	29.jpg	/railroadiana/image/29.jpg
"Orient, Iowa. CBQ"	"Sims, Ronald D."		1960-06-24	"Wooden depot with car parked next to it.  Train sitting on tracks. ""view looks NW""--Photograph verso."		Railroad stations; Buildings; Automobiles; Railroad cars				"Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adair County -- Orient	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,059,928 bytes, 1746 x 2682; JPEG image: 190,841 bytes, 391 x 600"	3/16/2005	40orient01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,32"	32	29.jpg	/railroadiana/image/29.jpg
"Nodaway, Iowa. CBQ"	unknown		1964-09-21	Small wooden depot with two railroad cars parked on the tracks next to it.  In the background there is a barn.		Railroad stations; Buildings; Railroad cars				"Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Iowa County -- Nodaway	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"vol. 40, Depots by County"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,693,684 bytes, 1806 x 2710; JPEG image: 144,106 bytes"	3/21/2005	40nodaway01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,33"	33	30.jpg	/railroadiana/image/30.jpg
"Nodaway, IA. BN"	unknown		1987-06-25	"Station sign next to tracks with grain elevators to the left. ""view looks w - Sims photo""--Photograph verso."		Railroad stations				Burlington Northern Railroad Company	United States -- Iowa -- Iowa County -- Nodaway	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"vol. 40, Depots by County"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,168,116 bytes, 1788 x 2639; JPEG image: 220,649 bytes"	3/22/2005	40nodaway03.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,34"	34	31.jpg	/railroadiana/image/31.jpg
"Harpers Ferry, Iowa. MILW"	unknown		1956-07-14	Large wooden depot with signal light and railroad crossing sign.  Buildings in the background.		Railroad stations; Buildings				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Allamakee County -- Harpers Ferry	1950-1960	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,866,620 bytes, 1840 x 2691; JPEG image: 187,937 bytes"	3/23/2005	40harpersferry01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,35"	35	32.JPG	/railroadiana/image/32.JPG
"Lansing, Iowa. MILW"	unknown		1956-07-14	Small wooden depot with two garage doors on a  loading dock.  A truck is backed up to a railroad car.   There are a couple of railroad cars sitting on the tracks to the right of the depot.  A signal light towers above the depot from behind.		Railroad stations; Buildings; Railroad cars; Automobiles; Railroad signals				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Allamakee County -- Lansing	1950-1960	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	The University of Iowa Libraries Special Collections: http://www.lib.uiowa.edu/spec-coll/	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 15,567,160 bytes, 1964 x 2640; JPEG image: 205,121 bytes"	3/23/2005	40lansing01.jpg				10/26/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,36"	36	33.JPG	/railroadiana/image/33.JPG
"New Albin, Iowa. MILW"	unknown		1956-07-14	Two story wooden depot with lots of windows.  Buildings and a car in the background.		Railroad stations; Buildings				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Allamakee County -- New Albin	1950-1960	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"vol. 40, Depots by County"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	9	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 16,202,820 bytes, 1979 x 2727; JPEG image: 205,567 bytes"	3/23/2005	40newalbin01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,37"	37	34.jpg	/railroadiana/image/34.jpg
"Postville, Iowa. MILW"	unknown		1956-07-14	Brick depot with signal light next to it.  Railroad car parked behind the depot.  Buildings to the left and in the background.		Railroad stations; Buildings; Railroad cars; Railroad signals				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Allamakee County -- Postville	1950-1960	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 15,086,452 bytes, 1894 x 2653; JPEG image: 188,191 bytes"	3/23/2005	40postville01.jpg				3/24/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,38"	38	35.jpg	/railroadiana/image/35.jpg
